Rank,Company,Website,City,State,Peak Number of Employees,Total 2024 Revenue in Dollars,% of Commercial Work,% of Residential Work,Involved with Private Equity?,Platform Name
91,Ridgeline Roofing & Restoration,https://www.ridgeline-roofing.com/,Birmingham,Ala.,80," $ 23,900,000 ",15.00%,85.00%,Yes,Bertram Capital
92,SPG Roofing & Exteriors,,Whiteland,Ind.,22," $ 22,817,000 ",65.00%,35.00%,No,
93,Southern National Roofing,,Charlotte,N.C.,125," $ 23,714,622 ",0.00%,100.00%,No,
94,Adam Vaillancourt Roofing & Gutters,https://www.adamvroofing.com/,Milford,N.H.,44," $ 22,534,000 ",8.00%,92.00%,Yes,Canopy Home Services
95,NexGen Exteriors,https://www.nexgentoday.com/,Anoka,Minn.,54," $ 22,155,363 ",40.00%,60.00%,Yes,First Ridge Service Partners
96,LocalRoofs,https://localroofs.com/,Thousand Oaks,Calif.,140," $ 21,905,000 ",20.00%,80.00%,No,
97,Roof Squad,https://www.roofsquad.com/,Houston,Texas,75," $ 21,898,745 ",30.00%,70.00%,No,
98,Hayden Building Maintenance Corporation,https://www.roofline.com/,Tappan,N.Y.,100," $ 21,338,297 ",95.00%,5.00%,No,
99,"Platinum Roofing Solutions, Inc.",http://platinumroofpros.com/,Valdosta,Ga.,22," $ 21,300,000 ",15.00%,85.00%,No,
100,Amstill Roofing,,Houston,Texas,48," $ 21,282,821 ",4.00%,96.00%,No,
